name,description,price,category,tags
"Professional Drill Z1","High power industrial drill for heavy duty construction.",299.99,"Power Tools","Hot Sale,Industrial"
"Safety Helmet Pro","High-impact resistance safety helmet with ventilation.",45.50,"Safety Gear","New Arrival,Safety"
"Ergonomic Office Chair","Adjustable lumbar support with breathable mesh back.",189.00,"Office Supplies","Best Seller"
"Laptop Stand Aluminum","Portable and foldable aluminum stand for laptops up to 17 inches.",35.99,"Electronics","Eco-friendly"
"Concrete Mixer M200","Heavy duty concrete mixer with 200L capacity.",850.00,"Construction","Industrial,Premium"
"Wireless Mouse G502","High precision wireless gaming mouse with RGB.",79.99,"Electronics","Hot Sale"
"Protective Gloves","Cut-resistant and waterproof industrial gloves.",12.00,"Safety Gear","Bulk Discount"
"LED Desk Lamp","Dimmable desk lamp with wireless charging base.",42.00,"Office Supplies","New Arrival"
"Circular Saw C10","High speed circular saw for precise wood cutting.",159.00,"Power Tools","Industrial"
"Bluetooth Speaker","Waterproof portable speaker with 20h battery life.",55.00,"Electronics","Imported"
"Steel Toe Boots","Comfortable and durable steel toe boots for site work.",110.00,"Safety Gear","Best Seller"
"Mechanical Keyboard","Mechanical gaming keyboard with blue switches.",89.00,"Electronics","New Arrival"
"Industrial Fan","High velocity floor fan for large warehouses.",125.00,"Construction","Industrial"
"Paper Shredder","Cross-cut paper shredder for secure office use.",65.00,"Office Supplies","Best Seller"
"Angle Grinder","Powerful angle grinder for metal and stone grinding.",95.00,"Power Tools","Industrial"
"USB-C Hub","7-in-1 USB-C hub with HDMI and Power Delivery.",49.00,"Electronics","Imported"
"Safety Vest","High visibility reflective safety vest.",8.50,"Safety Gear","Bulk Discount"
"Whiteboard 120x90","Magnetic whiteboard for office meetings.",75.00,"Office Supplies","Eco-friendly"
"Electric Screwdriver","Compact electric screwdriver with 20 bits set.",29.00,"Power Tools","Hot Sale"
"Measurement Tape 10m","Durable 10-meter measurement tape with lock.",15.00,"Construction","Best Seller"
